grade,age,gender,live,times moved,now living,time work,time no adult,time friend,time school act,time noschool act,time reading,time church,time HW,time excersize,time fruit,30 smoke,30 5drinks,30dr driving,30 cig,30cigars,30drink,30marijuana,30glue,30meth,30coke,30amph,30prescription,30counter,30chew,30steroid,30barbituates,pride,truth,values drug,responsibility,friends,fix problems,decision,excite,hard work,Pop cig,Pop drink,Pop marijuana,Pop otherdrug,safe,best school,talk adult,grades,home rules,home happy,home al drug,home close,home talk,home support,home know,home chores,home wrong,home praise,Wpdrink,N safe,
11th,16,Female,"In a small city or town, less than 5,000 population",Once,with a parent/s,0 hours,1-2 hours,3-5 hours,0 hours,0 hours,1-2 hours,3-5 hours,1-2 hours,-1,Less than 1 time per day,-1,0 days,I don't drive,1-2 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,1-2 days,Have never used,Have never used,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,More popular,More popular,More popular,A lot less popular,Agree,Agree,Strongly agree,Above average,Strongly agree,.,Agree,Strongly agree,Agree,Agree,Sometimes,Always,Always,Often,Very wrong,Strongly agree,
11th,16,Female,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,6-10 hours,0 hours,0 hours,0 hours,1-2 hours,0 hours,6-10 hours,2,3 times per day,2 to 5 per day,0 days,0 days,10-19 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,1-2 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Wouldnt change my popularity,More popular,Wouldnt change my popularity,Less popular,Agree,Agree,Agree,Above average,Agree,.,Disagree,Agree,Agree,Agree,Often,Often,Often,Often,Wrong,Agree,
11th,16,Female,"In a large city over 30,000 population",Twice,with a parent/s,0 hours,6-10 hours,1-2 hours,11 or more hours,0 hours,3-5 hours,3-5 hours,6-10 hours,4,2 times per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Strongly agree,Agree,Above average,Agree,Disagree,Disagree,Agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Agree,
11th,16,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,11 or more hours,3-5 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,6-10 hours,6-10 hours,3,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,A lot less popular,Less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Often,Sometimes,Often,Very wrong,Agree,
11th,16,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,3-5 hours,0 hours,11 or more hours,0 hours,0 hours,1-2 hours,3-5 hours,7,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Less popular,More popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Above average,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Always,Often,Sometimes,Often,Wrong,Agree,
11th,16,Female,On a farm,None,with a parent/s,0 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,11 or more hours,3-5 hours,1-2 hours,2,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,More popular,More popular,More popular,More popular,Agree,Strongly agree,Agree,Average,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Agree,
11th,16,Female,"In the country, but not on a farm",None,with a parent/s,3-5 hours,3-5 hours,1-2 hours,11 or more hours,6-10 hours,1-2 hours,3-5 hours,3-5 hours,5,1 time per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,A lot less popular,Wouldnt change my popularity,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Above average,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Often,Often,Often,Often,Very wrong,Strongly agree,
11th,16,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,0 hours,3-5 hours,11 or more hours,1-2 hours,3-5 hours,6-10 hours,11 or more hours,1,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Disagree,Strongly agree,Strongly agree,Above average,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Sometimes,Sometimes,Always,Often,Very wrong,Disagree,
11th,16,Female,"In the country, but not on a farm",Once,with a parent/s,0 hours,1-2 hours,0 hours,0 hours,1-2 hours,1-2 hours,0 hours,3-5 hours,7,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Less popular,Wouldnt change my popularity,A lot less popular,Less popular,Agree,Strongly agree,Strongly agree,Excellent,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Often,Often,Sometimes,Very wrong,Agree,
11th,16,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,3-5 hours,0 hours,3-5 hours,1-2 hours,6-10 hours,2,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Less popular,Wouldnt change my popularity,Less popular,Less popular,Agree,Strongly agree,Agree,Above average,Agree,Agree,Disagree,Agree,Agree,Agree,Always,Always,Often,Often,Very wrong,Agree,
11th,16,Female,On a farm,None,with a parent/s,1-2 hours,3-5 hours,3-5 hours,6-10 hours,11 or more hours,1-2 hours,1-2 hours,6-10 hours,3,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,A lot less popular,A lot more popular,A lot less popular,A lot less popular,Agree,Strongly agree,Agree,Excellent,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Always,Often,Often,Sometimes,Very wrong,Strongly agree,
11th,16,Female,"In a large city over 30,000 population",None,with a parent/s,6-10 hours,11 or more hours,1-2 hours,3-5 hours,6-10 hours,6-10 hours,1-2 hours,3-5 hours,5,3 times per day,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Less popular,More popular,Less popular,Less popular,Disagree,Agree,Agree,Excellent,Agree,Agree,Disagree,Agree,Agree,Agree,Always,Often,Sometimes,Always,Wrong,Agree,
11th,16,Female,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,1-2 hours,3-5 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,5,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Less popular,Wouldnt change my popularity,Less popular,Less popular,Agree,Strongly agree,Agree,Excellent,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Often,Always,Often,Sometimes,Very wrong,Strongly agree,
11th,16,Female,"In a small city or town, less than 5,000 population",Twice,with a parent/s,11 or more hours,6-10 hours,1-2 hours,3-5 hours,0 hours,11 or more hours,1-2 hours,0 hours,2,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Less popular,Less popular,A lot less popular,A lot less popular,Agree,Disagree,Strongly agree,Below average,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Often,Sometimes,Often,Often,Very wrong,Strongly agree,
11th,16,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,6-10 hours,0 hours,3-5 hours,5,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,1-2 days,0 days,0 days,-1,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,More popular,More popular,More popular,Less popular,Strongly agree,Agree,Strongly agree,Above average,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
11th,16,Female,"In a large city over 30,000 population",Once,with a parent/s,11 or more hours,11 or more hours,1-2 hours,0 hours,0 hours,0 hours,3-5 hours,6-10 hours,2,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Less popular,A lot more popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly disagree,Excellent,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Often,Sometimes,Often,Sometimes,Wrong,Agree,
11th,16,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,11 or more hours,3-5 hours,3-5 hours,6-10 hours,0 hours,0 hours,1-2 hours,3-5 hours,3,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,More popular,More popular,More popular,More popular,Agree,Strongly agree,Agree,Above average,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Sometimes,Sometimes,Often,Often,Very wrong,Agree,
11th,16,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,1-2 hours,6-10 hours,6-10 hours,11 or more hours,6-10 hours,3-5 hours,6-10 hours,3-5 hours,5,4 times per day,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Less popular,More popular,A lot less popular,Less popular,Agree,Strongly agree,Strongly agree,Above average,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Always,Always,Often,Often,Very wrong,Strongly agree,
11th,16,Female,"In a large city over 30,000 population",Once,with a parent/s,0 hours,3-5 hours,0 hours,6-10 hours,3-5 hours,3-5 hours,3-5 hours,11 or more hours,2,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Wouldnt change my popularity,More popular,Less popular,Less popular,Agree,Agree,Agree,Above average,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Often,Sometimes,Often,Always,Very wrong,Agree,
11th,16,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,6-10 hours,1-2 hours,11 or more hours,1-2 hours,-1,1-2 hours,11 or more hours,5,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,More popular,A lot more popular,More popular,Less popular,Agree,Agree,Agree,Above average,Agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Always,Sometimes,Often,Sometimes,Very wrong,Strongly agree,
11th,16,Female,"In the country, but not on a farm",None,with a parent/s,11 or more hours,3-5 hours,1-2 hours,1-2 hours,0 hours,3-5 hours,1-2 hours,1-2 hours,3,2 times per day,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Always,Always,Often,Often,Very wrong,Strongly agree,
11th,16,Female,"In a large city over 30,000 population",None,with a parent/s,6-10 hours,6-10 hours,3-5 hours,11 or more hours,3-5 hours,1-2 hours,3-5 hours,3-5 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,A lot less popular,Wouldnt change my popularity,A lot less popular,A lot less popular,Agree,Agree,Agree,Excellent,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Always,Often,Always,Often,Very wrong,Agree,
11th,16,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,11 or more hours,6-10 hours,1-2 hours,0 hours,6-10 hours,0 hours,0 hours,2,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,More popular,More popular,More popular,More popular,Disagree,Agree,Strongly agree,Above average,Disagree,Agree,Disagree,Disagree,Agree,Agree,Always,Always,Always,Always,Very wrong,Disagree,
11th,16,Female,On a farm,None,with a parent/s,0 hours,3-5 hours,3-5 hours,11 or more hours,1-2 hours,11 or more hours,3-5 hours,1-2 hours,2,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Less popular,A lot more popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Excellent,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Always,Always,Always,Often,Very wrong,Strongly agree,
11th,16,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,11 or more hours,3-5 hours,1-2 hours,1-2 hours,0 hours,6-10 hours,1-2 hours,3-5 hours,3,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Above average,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Strongly agree,
11th,16,Female,"In a large city over 30,000 population",Twice,with a parent/s,0 hours,1-2 hours,0 hours,0 hours,0 hours,0 hours,0 hours,3-5 hours,3,1 time per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,-1,-1,0 days,0 days,-1,Have never used,Have never used,-1,.,Agree,.,Agree,Agree,Agree,Agree,.,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,.,.,Agree,Above average,Agree,Agree,.,Strongly agree,Agree,.,Often,Sometimes,Sometimes,Sometimes,Wrong,.,
11th,16,Female,On a farm,None,with a parent/s,11 or more hours,11 or more hours,11 or more hours,0 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,1,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Strongly agree,Average,Agree,Agree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Wrong,Agree,
11th,16,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,1-2 hours,0 hours,6-10 hours,6-10 hours,0 hours,1-2 hours,6-10 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,A lot less popular,More popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Above average,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Often,Always,Sometimes,Always,Very wrong,Agree,
11th,16,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,6-10 hours,3-5 hours,1-2 hours,0 hours,0 hours,-1,1-2 hours,3-5 hours,2,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,A lot less popular,More popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Average,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Always,Always,Often,Always,Very wrong,Strongly agree,
11th,16,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,11 or more hours,3-5 hours,6-10 hours,1-2 hours,1-2 hours,0 hours,3-5 hours,4,3 times per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Less popular,Wouldnt change my popularity,Less popular,Less popular,Agree,Disagree,Agree,Average,Agree,Agree,Disagree,Agree,Agree,Agree,Often,Sometimes,Sometimes,Sometimes,Wrong,Agree,
11th,16,Female,On a farm,None,with a parent/s,1-2 hours,6-10 hours,3-5 hours,11 or more hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Less popular,Wouldnt change my popularity,A lot less popular,A lot less popular,Agree,Agree,Agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Sometimes,Often,Often,Often,Very wrong,Strongly agree,
11th,16,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,6-10 hours,1-2 hours,3-5 hours,6-10 hours,0 hours,0 hours,3-5 hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Strongly agree,
11th,16,Female,"In a large city over 30,000 population",None,with a parent/s,11 or more hours,3-5 hours,1-2 hours,0 hours,0 hours,0 hours,0 hours,6-10 hours,0,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Wouldnt change my popularity,More popular,More popular,Wouldnt change my popularity,Agree,Agree,Agree,Excellent,Agree,Agree,Disagree,Agree,Agree,Agree,Always,Always,Often,Sometimes,Very wrong,Agree,
11th,16,Female,"In a large city over 30,000 population",None,with a parent/s,6-10 hours,6-10 hours,1-2 hours,6-10 hours,1-2 hours,1-2 hours,0 hours,3-5 hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Agree,Sometimes,Sometimes,Always,Often,Very wrong,Agree,
11th,16,Female,"In a large city over 30,000 population",None,with a parent/s,6-10 hours,-1,1-2 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,0,3 times per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Strongly agree,Disagree,Average,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Often,Often,Never,Often,Wrong,Agree,
11th,16,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,11 or more hours,6-10 hours,1-2 hours,0 hours,0 hours,3-5 hours,1-2 hours,6-10 hours,5,5 or more times per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Agree,More popular,More popular,Less popular,Less popular,Agree,Strongly agree,Agree,Above average,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Often,Often,Sometimes,Sometimes,Wrong,Agree,
11th,16,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,1-2 hours,0 hours,0 hours,1-2 hours,3-5 hours,2,Less than 1 time per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Less popular,Wouldnt change my popularity,A lot less popular,A lot less popular,Agree,Agree,Agree,Average,Agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Always,Often,Sometimes,Always,Very wrong,Disagree,
11th,16,Female,"In the country, but not on a farm",Once,with a parent/s,11 or more hours,3-5 hours,3-5 hours,3-5 hours,0 hours,3-5 hours,0 hours,6-10 hours,5,2 times per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Less popular,Wouldnt change my popularity,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Agree,Above average,Agree,Agree,Disagree,Agree,Agree,Agree,Often,Sometimes,Always,Sometimes,Very wrong,Agree,
11th,16,Female,"In the country, but not on a farm",None,with foster parents,6-10 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,3-5 hours,3-5 hours,6-10 hours,4,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,More popular,A lot more popular,A lot more popular,A lot more popular,Strongly agree,Agree,Strongly agree,Average,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Always,Often,Always,Often,Very wrong,Strongly agree,
11th,16,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,6-10 hours,1-2 hours,11 or more hours,0 hours,0 hours,1-2 hours,11 or more hours,7,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Less popular,More popular,A lot less popular,A lot less popular,Agree,Strongly agree,Agree,Above average,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Always,Always,Often,Often,Very wrong,Strongly agree,
11th,16,Male,"In a small city or town, less than 5,000 population",Once,with a parent/s,0 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,6,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,Wouldnt change my popularity,Less popular,Less popular,Agree,Agree,Agree,Above average,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Often,Sometimes,Always,Sometimes,Very wrong,Strongly agree,
11th,16,Male,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,6-10 hours,1-2 hours,3-5 hours,11 or more hours,3-5 hours,1-2 hours,3-5 hours,7,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Less popular,More popular,Less popular,A lot less popular,Agree,Strongly agree,Agree,Excellent,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Often,Sometimes,Sometimes,Sometimes,A little wrong,Agree,
